"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20130411409","100001","12","云电同方"
"10000002","EN20130411410","100001","203","远信科技"
"10000002","EN20130411411","100001","203","远信科技"
"10000003","EN20130411412","100003","19","楚雄供电局"
"10000002","EN20130411413","100001","12","云电同方"
"10000003","EN20130411414","100003","21","红河供电局"
"10000002","EN20130411415","100001","203","远信科技"
"10000002","EN20130411416","100001","203","远信科技"
"10000002","EN20130411417","100001","203","远信科技"
"10000002","EN20130411418","100001","203","远信科技"
"10000002","EN20130411419","100001","203","远信科技"
"10000002","EN20130411420","100001","203","远信科技"
"10000002","EN20130411421","100001","23","曲靖供电局"
"10000002","EN20130411422","100001","203","远信科技"
"10000002","EN20130411423","100001","203","远信科技"
"10000002","EN20130411424","100001","202","昆明能讯"
"10000002","EN20130411425","100001","203","远信科技"
"10000003","EN20130411426","100003","12","云电同方"
"10000002","EN20130411427","100001","12","云电同方"
"10000002","EN20130411428","100001","203","远信科技"
"10000002","EN20130411429","100001","209","信息中心"
"10000002","EN20130411430","100001","209","信息中心"
"10000002","EN20130411431","100001","203","远信科技"
"10000002","EN20130411432","100001","203","远信科技"
"10000002","EN20130411433","100001","203","远信科技"
"10000003","EN20130411434","100003","12","云电同方"
"10000002","EN20130411435","100001","203","远信科技"
"10000002","EN20130411436","100001","203","远信科技"
"10000002","EN20130411437","100001","203","远信科技"
"10000002","EN20130411438","100001","203","远信科技"
"10000002","EN20130411439","100001","12","云电同方"
"10000002","EN20130411440","100001","12","云电同方"
"10000002","EN20130411441","100001","202","昆明能讯"
"10000003","EN20130411442","100003","202","昆明能讯"
"10000002","EN20130411443","100001","203","远信科技"
"10000002","EN20130411444","100001","203","远信科技"
"10000002","EN20130411445","100001","203","远信科技"
"10000002","EN20130411446","100001","12","云电同方"
"10000002","EN20130411447","100001","203","远信科技"
"10000002","EN20130411448","100001","203","远信科技"
"10000002","EN20130411449","100001","12","云电同方"
"10000002","EN20130411450","100001","12","云电同方"
"10000002","EN20130411451","100001","12","云电同方"
"10000002","EN20130411452","100001","12","云电同方"
"10000003","EN20130411453","100003","21","红河供电局"
"10000002","EN20130411454","100001","12","云电同方"
"10000002","EN20130411455","100001","12","云电同方"
"10000003","EN20130411456","100003","12","云电同方"
"10000002","EN20130411457","100001","12","云电同方"
"10000002","EN20130411458","100001","25","临沧供电局"
"10000003","EN20130411459","100003","12","云电同方"
"10000002","EN20130411460","100001","202","昆明能讯"
"10000002","EN20130411461","100001","12","云电同方"
"10000002","EN20130411462","100001","202","昆明能讯"
"10000002","EN20130411463","100001","203","远信科技"
"10000002","EN20130411464","100001","203","远信科技"
"10000002","EN20130411465","100001","12","云电同方"
"10000002","EN20130411466","100001","203","远信科技"
"10000002","EN20130411467","100001","209","信息中心"
"10000002","EN20130411468","100001","209","信息中心"
"10000002","EN20130411469","100001","203","远信科技"
"10000002","EN20130411470","100001","17","普洱供电局"
"10000002","EN20130411471","100001","12","云电同方"
"10000002","EN20130411472","100001","21","红河供电局"
"10000002","EN20130411473","100001","203","远信科技"
"10000002","EN20130411474","100001","203","远信科技"
"10000003","EN20130411475","100003","12","云电同方"
"10000002","EN20130411476","100001","12","云电同方"
"10000002","EN20130411477","100001","12","云电同方"
"10000002","EN20130411478","100001","203","远信科技"
"10000002","EN20130411479","100001","12","云电同方"
"10000003","EN20130411480","100001","12","云电同方"
"10000002","EN20130411481","100001","203","远信科技"
"10000002","EN20130411482","100001","203","远信科技"
"10000002","EN20130411483","100001","203","远信科技"
"10000002","EN20130411484","100001","209","信息中心"
"10000002","EN20130411485","100001","203","远信科技"
"10000002","EN20130411486","100001","209","信息中心"
"10000002","EN20130411487","100001","203","远信科技"
"10000002","EN20130411488","100001","203","远信科技"
"10000002","EN20130411489","100001","209","信息中心"
"10000002","EN20130411490","100001","209","信息中心"
"10000002","EN20130411491","100001","209","信息中心"
"10000002","EN20130411492","100001","203","远信科技"
"10000002","EN20130411493","100001","203","远信科技"
"10000002","EN20130411494","100001","12","云电同方"
"10000002","EN20130411495","100001","203","远信科技"
"10000002","EN20130411496","100001","12","云电同方"
"10000002","EN20130411497","100001","203","远信科技"
"10000003","EN20130411498","100003","12","云电同方"
"10000002","EN20130411499","100001","203","远信科技"
"10000003","EN20130411500","100003","202","昆明能讯"
"10000002","EN20130411501","100001","12","云电同方"
"10000002","EN20130411502","100001","12","云电同方"
"10000002","EN20130411503","100001","12","云电同方"
"10000002","EN20130411504","100001","203","远信科技"
"10000002","EN20130411505","100001","12","云电同方"
"10000002","EN20130411506","100003","202","昆明能讯"
"10000002","EN20130411507","100005","202","昆明能讯"
"10000002","EN20130411508","100001","202","昆明能讯"
"10000002","EN20130411509","100001","12","云电同方"
"10000002","EN20130411510","100001","209","信息中心"
"10000002","EN20130411511","100001","12","云电同方"
"10000002","EN20130411512","100001","209","信息中心"
"10000002","EN20130411513","100001","203","远信科技"
"10000002","EN20130411514","100001","202","昆明能讯"
"10000002","EN20130411515","100001","209","信息中心"
"10000002","EN20130411516","100001","17","普洱供电局"
"10000003","EN20130411517","100003","12","云电同方"
"10000002","EN20130411518","100001","12","云电同方"
"10000002","EN20130411519","100001","202","昆明能讯"
