"   ","SOLVEID","TRANSACTIONID","CLOSEID"
"154","10000003","EN20130104008","100003"
"155","10000002","EN20130104009","100001"
"156","10000002","EN20130104010","100001"
"157","10000003","EN20130104011","100003"
"158","10000002","EN20130104012","100001"
"159","10000003","EN20130104013","100003"
"160","10000002","EN20130104014","100001"
"161","10000002","EN20130104015","100001"
"162","10000002","EN20130104016","100001"
"163","10000002","EN20130104017","100001"
"164","10000003","EN20130104018","100001"
"165","10000002","EN20130104019","100001"
"166","10000003","EN20130104020","100003"
"167","10000002","EN20130104021","100001"
"168","10000002","EN20130104022","100003"
"169","10000003","EN20130104023","100001"
"170","10000002","EN20130104024","100001"
"171","10000002","EN20130104025","100003"
"172","10000002","EN20130104026","100001"
"173","10000002","EN20130104027","100001"
"174","10000002","EN20130104028","100003"
"175","10000003","EN20130104029","100003"
"176","10000003","EN20130104030","100001"
"177","10000002","EN20130104031","100001"
"178","10000003","EN20130104032","100003"
"179","10000003","EN20130104033","100003"
"180","10000003","EN20130104034","100003"
"181","10000002","EN20130104035","100003"
"182","10000003","EN20130104036","100003"
"183","10000002","EN20130104037","100001"
"184","10000002","EN20130104038","100001"
"185","10000003","EN20130104039","100003"
"186","10000002","EN20130104040","100001"
"187","10000002","EN20130104041","100001"
"188","10000002","EN20130104042","100001"
"189","10000002","EN20130104043","100001"
"190","10000003","EN20130104044","100003"
"191","10000002","EN20130104045","100003"
"192","10000003","EN20130104046","100003"
"193","10000002","EN20130104047","100001"
"194","10000002","EN20130104048","100001"
"195","10000002","EN20130104049","100001"
"196","10000003","EN20130104050","100003"
"197","10000002","EN20130104051","100001"
"198","10000002","EN20130104052","100001"
"199","10000003","EN20130104053","100003"
"200","10000003","EN20130104054","100003"
"201","10000003","EN20130104055","100003"
"202","10000002","EN20130104056","100001"
"203","10000002","EN20130104057","100001"
"204","10000003","EN20130104058","100003"
"205","10000002","EN20130104059","100001"
"206","10000002","EN20130104060","100001"
"207","10000002","EN20130104061","100003"
"208","10000002","EN20130104062","100001"
"209","10000002","EN20130104063","100010"
"210","10000002","EN20130104064","100001"
"211","10000002","EN20130104065","100001"
"212","10000002","EN20130104066","100001"
"213","10000003","EN20130104067","100003"
"214","10000003","EN20130104068","100003"
"215","10000002","EN20130104070","100001"
"216","10000003","EN20130104071","100003"
"217","10000002","EN20130104072","100001"
"218","10000002","EN20130104073","100001"
"219","10000002","EN20130104074","100001"
"220","10000002","EN20130104075","100001"
"221","10000003","EN20130104076","100003"
"222","10000003","EN20130104077","100003"
"223","10000003","EN20130104078","100003"
"224","10000002","EN20130104079","100001"
"225","10000002","EN20130104080","100001"
"226","10000002","EN20130104081","100003"
"227","10000002","EN20130104082","100001"
"228","10000003","EN20130104083","100003"
"229","10000002","EN20130104084","100001"
"230","10000003","EN20130104085","100001"
"231","10000002","EN20130104086","100001"
"232","10000002","EN20130104087","100003"
"233","10000002","EN20130104088","100001"
"234","10000002","EN20130104089","100003"
"235","10000003","EN20130104089","100003"
"236","10000003","EN20130104090","100001"
"237","10000002","EN20130104091","100001"
"238","10000003","EN20130104092","100001"
"239","10000002","EN20130104093","100001"
"240","10000002","EN20130104095","100001"
"241","10000002","EN20130104096","100001"
"242","10000002","EN20130104097","100001"
"243","10000002","EN20130104098","100001"
"244","10000002","EN20130104099","100001"
"245","10000002","EN20130104100","100001"
"246","10000003","EN20130104101","100003"
"247","10000003","EN20130104102","100003"
"248","10000002","EN20130104103","100001"
"249","10000002","EN20130104104","100001"
"250","10000002","EN20130104105","100001"
"251","10000002","EN20130104106","100001"
"252","10000003","EN20130104107","100003"
"253","10000002","EN20130104108","100001"
"254","10000002","EN20130104109","100001"
"255","10000002","EN20130104110","100003"
"256","10000002","EN20130104111","100001"
"257","10000002","EN20130104112","100001"
"258","10000002","EN20130104113","100001"
"259","10000002","EN20130104114","100001"
"260","10000002","EN20130104115","100003"
"261","10000002","EN20130104116","100001"
"262","10000002","EN20130104117","100001"
"263","10000002","EN20130104118","100001"
"264","10000003","EN20130104119","100003"
"265","10000003","EN20130104120","100001"
"266","10000002","EN20130104121","100001"
"267","10000003","EN20130104122","100003"
"268","10000002","EN20130104123","100001"
"269","10000002","EN20130104124","100001"
"270","10000002","EN20130104125","100001"
"271","10000002","EN20130104126","100003"
"272","10000002","EN20130104127","100001"
"273","10000002","EN20130104128","100001"
"274","10000002","EN20130104129","100001"
"275","10000002","EN20130104130","100003"
"276","10000002","EN20130104131","100001"
"277","10000002","EN20130104132","100001"
"278","10000002","EN20130104133","100001"
"279","10000002","EN20130104134","100001"
"280","10000003","EN20130104135","100003"
"281","10000003","EN20130104136","100003"
"282","10000002","EN20130104137","100001"
"283","10000002","EN20130104138","100001"
"284","10000002","EN20130104139","100001"
"285","10000003","EN20130104140","100003"
"286","10000002","EN20130104142","100001"
"287","10000002","EN20130104143","100003"
"288","10000002","EN20130104144","100001"
"289","10000002","EN20130104145","100001"
"290","10000003","EN20130104146","100003"
"291","10000002","EN20130104147","100001"
"292","10000003","EN20130104148","100001"
"293","10000002","EN20130104149","100001"
"294","10000002","EN20130104150","100003"
"295","10000003","EN20130104151","100001"
"296","10000002","EN20130104154","100001"
"297","10000003","EN20130104155","100003"
"298","10000002","EN20130104156","100001"
"299","10000002","EN20130104157","100001"
"300","10000002","EN20130104158","100001"
"301","10000002","EN20130104159","100001"
"302","10000002","EN20130104160","100001"
"303","10000002","EN20130104161","100001"
"304","10000003","EN20130104162","100003"
"305","10000002","EN20130104163","100001"
"306","10000002","EN20130104164","100001"
"307","10000002","EN20130104165","100001"
"308","10000002","EN20130104166","100001"
"309","10000002","EN20130104167","100001"
"310","10000002","EN20130104168","100001"
"311","10000002","EN20130104169","100001"
"312","10000003","EN20130104171","100003"
"313","10000002","EN20130104172","100001"
"314","10000003","EN20130104173","100003"
"315","10000002","EN20130104174","100001"
"316","10000003","EN20130104175","100003"
"317","10000002","EN20130104176","100001"
"318","10000002","EN20130104177","100001"
"319","10000002","EN20130104178","100001"
"320","10000003","EN20130104179","100003"
"321","10000003","EN20130104180","100003"
"322","10000003","EN20130104181","100001"
"323","10000003","EN20130104182","100001"
"324","10000003","EN20130104184","100001"
"325","10000002","EN20130104185","100001"
"326","10000003","EN20130104186","100003"
"327","10000002","EN20130104187","100001"
"328","10000002","EN20130104188","100003"
"329","10000002","EN20130104189","100001"
"330","10000002","EN20130104190","100001"
"331","10000002","EN20130104191","100001"
"332","10000002","EN20130104192","100001"
"333","10000003","EN20130104193","100003"
"334","10000003","EN20130104194","100001"
"335","10000003","EN20130104195","100001"
"336","10000002","EN20130104196","100001"
"337","10000003","EN20130104197","100003"
"338","10000002","EN20130104198","100001"
"339","10000002","EN20130104199","100003"
"340","10000002","EN20130104200","100001"
"341","10000003","EN20130104201","100003"
"342","10000002","EN20130104202","100001"
"343","10000002","EN20130104203","100001"
"344","10000002","EN20130104204","100001"
"345","10000003","EN20130104205","100003"
"346","10000002","EN20130104206","100001"
"347","10000002","EN20130104207","100001"
"348","10000002","EN20130104208","100001"
"349","10000002","EN20130104209","100001"
"350","10000003","EN20130104210","100003"
"351","10000003","EN20130104211","100001"
"352","10000002","EN20130104212","100001"
"353","10000004","EN20130104213","100005"
"354","10000002","EN20130104214","100001"
"355","10000003","EN20130104215","100003"
"356","10000002","EN20130104216","100001"
"357","10000003","EN20130104217","100003"
"358","10000002","EN20130104218","100001"
"359","10000003","EN20130104219","100003"
"360","10000002","EN20130104220","100001"
"361","10000002","EN20130104221","100001"
"362","10000003","EN20130104222","100003"
"363","10000002","EN20130104223","100001"
"364","10000002","EN20130104224","100003"
"365","10000002","EN20130104225","100001"
"366","10000003","EN20130104226","100003"
"367","10000002","EN20130104227","100001"
"368","10000003","EN20130104228","100001"
"369","10000002","EN20130104229","100001"
"370","10000002","EN20130104230","100003"
"371","10000003","EN20130104231","100003"
"372","10000002","EN20130104232","100003"
"373","10000003","EN20130104233","100003"
"374","10000002","EN20130104234","100001"
"375","10000002","EN20130104235","100001"
"376","10000002","EN20130104236","100001"
"377","10000002","EN20130104237","100001"
"378","10000002","EN20130104238","100001"
"379","10000002","EN20130104239","100001"
"380","10000003","EN20130104240","100003"
"381","10000002","EN20130104241","100001"
"382","10000002","EN20130104242","100001"
"383","10000002","EN20130104243","100001"
"384","10000002","EN20130104244","100001"
"385","10000002","EN20130104245","100001"
"386","10000002","EN20130104246","100001"
"387","10000002","EN20130104247","100001"
"388","10000003","EN20130104248","100003"
"389","10000002","EN20130104249","100001"
"390","10000002","EN20130104250","100001"
"391","10000002","EN20130104251","100001"
"392","10000003","EN20130104252","100003"
"393","10000002","EN20130104253","100001"
"394","10000002","EN20130104254","100001"
"395","10000002","EN20130104255","100001"
"396","10000002","EN20130104256","100001"
"397","10000002","EN20130104257","100001"
"398","10000002","EN20130104258","100001"
"399","10000002","EN20130104260","100001"
"400","10000002","EN20130104261","100001"
"401","10000003","EN20130104263","100003"
"402","10000003","EN20130104264","100003"
"403","10000002","EN20130104265","100001"
"404","10000002","EN20130104266","100001"
"405","10000003","EN20130104267","100003"
"406","10000003","EN20130104268","100005"
"407","10000004","EN20130104268","100005"
"408","10000003","EN20130104269","100001"
"409","10000002","EN20130104270","100001"
"410","10000002","EN20130104271","100001"
"411","10000003","EN20130104272","100003"
"412","10000002","EN20130104273","100001"
"413","10000002","EN20130104274","100001"
"414","10000003","EN20130104275","100003"
"415","10000002","EN20130104276","100001"
"416","10000002","EN20130104277","100001"
"417","10000003","EN20130104278","100003"
"418","10000002","EN20130104279","100001"
"419","10000003","EN20130104280","100003"
"420","10000002","EN20130104281","100001"
"421","10000003","EN20130104282","100003"
"422","10000002","EN20130104283","100001"
"423","10000003","EN20130104284","100003"
"424","10000004","EN20130104285","100005"
"425","10000002","EN20130104286","100001"
"426","10000002","EN20130104287","100001"
"427","10000002","EN20130104288","100001"
"428","10000002","EN20130104289","100003"
"429","10000003","EN20130104290","100003"
"430","10000002","EN20130104291","100001"
"431","10000002","EN20130104292","100001"
"432","10000003","EN20130104293","100003"
"433","10000002","EN20130104294","100001"
"434","10000002","EN20130104295","100001"
"435","10000002","EN20130104296","100001"
"436","10000002","EN20130104297","100001"
"437","10000003","EN20130104298","100003"
"438","10000002","EN20130104299","100001"
"439","10000002","EN20130104300","100001"
"440","10000002","EN20130104301","100001"
"441","10000003","EN20130104302","100003"
"442","10000002","EN20130104303","100001"
"443","10000002","EN20130104304","100001"
"444","10000002","EN20130104305","100001"
"445","10000003","EN20130104306","100003"
"446","10000002","EN20130104307","100003"
"447","10000002","EN20130104308","100001"
"448","10000002","EN20130104309","100001"
"449","10000003","EN20130104310","100003"
"450","10000002","EN20130104311","100001"
"451","10000002","EN20130104312","100001"
"452","10000003","EN20130104313","100003"
"453","10000002","EN20130104314","100001"
"454","10000002","EN20130104315","100001"
"455","10000003","EN20130104316","100001"
"456","10000002","EN20130104317","100003"
"457","10000002","EN20130104318","100001"
"458","10000002","EN20130104319","100001"
"459","10000003","EN20130104320","100001"
"460","10000002","EN20130104321","100001"
"461","10000003","EN20130104322","100001"
"462","10000002","EN20130104323","100001"
"463","10000002","EN20130104324","100001"
"464","10000002","EN20130104325","100003"
"465","10000002","EN20130104326","100001"
