"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20121106170","100001","202","昆明能讯"
"10000003","EN20121106171","100001","203","远信科技"
"10000002","EN20121106172","100001","202","昆明能讯"
"10000002","EN20121106173","100003","202","昆明能讯"
"10000002","EN20121106174","100001","26","西双版纳供电局"
"10000003","EN20121106175","100001","203","远信科技"
"10000002","EN20121106176","100001","12","云电同方"
"10000002","EN20121106177","100001","202","昆明能讯"
"10000002","EN20121106178","100001","12","云电同方"
"10000002","EN20121106179","100001","202","昆明能讯"
"10000002","EN20121106180","100001","203","远信科技"
"10000002","EN20121106181","100001","12","云电同方"
"10000002","EN20121106182","100001","202","昆明能讯"
"10000002","EN20121106183","100001","202","昆明能讯"
"10000002","EN20121106184","100001","202","昆明能讯"
"10000002","EN20121106185","100001","203","远信科技"
"10000002","EN20121106186","100001","12","云电同方"
"10000002","EN20121106187","100001","202","昆明能讯"
"10000002","EN20121106188","100001","12","云电同方"
"10000002","EN20121106189","100001","12","云电同方"
"10000002","EN20121106190","100001","202","昆明能讯"
"10000002","EN20121106191","100001","202","昆明能讯"
"10000002","EN20121106192","100001","202","昆明能讯"
"10000003","EN20121106193","100003","12","云电同方"
"10000002","EN20121106194","100001","12","云电同方"
"10000002","EN20121106195","100001","202","昆明能讯"
"10000002","EN20121106196","100001","203","远信科技"
"10000002","EN20121106197","100001","12","云电同方"
"10000002","EN20121106198","100001","12","云电同方"
"10000002","EN20121106199","100001","12","云电同方"
"10000003","EN20121106200","100003","12","云电同方"
"10000003","EN20121106201","100001","12","云电同方"
"10000003","EN20121106203","100001","203","远信科技"
"10000002","EN20121106204","100001","203","远信科技"
"10000002","EN20121106205","100001","202","昆明能讯"
"10000002","EN20121106206","100001","202","昆明能讯"
"10000002","EN20121106207","100001","203","远信科技"
"10000002","EN20121106208","100001","203","远信科技"
"10000004","EN20121106209","100005","202","昆明能讯"
"10000002","EN20121106210","100001","203","远信科技"
"10000002","EN20121106211","100001","203","远信科技"
"10000002","EN20121106212","100001","203","远信科技"
"10000002","EN20121106213","100001","203","远信科技"
"10000002","EN20121106214","100001","12","云电同方"
"10000002","EN20121106215","100001","203","远信科技"
"10000003","EN20121106216","100001","203","远信科技"
"10000002","EN20121106217","100001","203","远信科技"
"10000002","EN20121106218","100001","203","远信科技"
"10000003","EN20121106219","100001","203","远信科技"
"10000002","EN20121106220","100001","202","昆明能讯"
"10000002","EN20121106221","100001","203","远信科技"
"10000003","EN20121106222","100003","202","昆明能讯"
"10000002","EN20121106223","100001","203","远信科技"
"10000002","EN20121106224","100001","203","远信科技"
"10000002","EN20121106225","100001","203","远信科技"
"10000002","EN20121106226","100001","202","昆明能讯"
"10000002","EN20121106227","100001","203","远信科技"
"10000003","EN20121106228","100003","12","云电同方"
