"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120516303","100001","12","云电同方"
"10000002","EN20120516304","100001","203","远信科技"
"10000002","EN20120516305","100001","12","云电同方"
"10000002","EN20120516306","100001","12","云电同方"
"10000003","EN20120516307","100003","12","云电同方"
"10000002","EN20120517001","100001","12","云电同方"
"10000002","EN20120517002","100001","12","云电同方"
"10000002","EN20120517003","100001","12","云电同方"
"10000002","EN20120517004","100001","203","远信科技"
"10000002","EN20120517005","100001","203","远信科技"
"10000003","EN20120517006","100001","203","远信科技"
"10000003","EN20120517007","100003","12","云电同方"
"10000002","EN20120517008","100001","203","远信科技"
"10000002","EN20120517009","100001","203","远信科技"
"10000002","EN20120517010","100001","203","远信科技"
"10000002","EN20120517011","100001","203","远信科技"
"10000002","EN20120517012","100001","12","云电同方"
"10000002","EN20120517013","100001","203","远信科技"
"10000002","EN20120517014","100001","12","云电同方"
"10000003","EN20120517015","100003","12","云电同方"
"10000002","EN20120517016","100001","12","云电同方"
"10000002","EN20120517017","100001","203","远信科技"
"10000002","EN20120517018","100001","203","远信科技"
"10000002","EN20120517019","100001","202","昆明能讯"
"10000002","EN20120517020","100001","203","远信科技"
"10000003","EN20120517021","100001","12","云电同方"
"10000002","EN20120517022","100001","203","远信科技"
"10000003","EN20120517023","100001","203","远信科技"
"10000002","EN20120517024","100001","203","远信科技"
"10000003","EN20120517025","100003","12","云电同方"
"10000003","EN20120517026","100003","12","云电同方"
"10000002","EN20120517027","100003","12","云电同方"
"10000003","EN20120517027","100003","12","云电同方"
"10000002","EN20120517028","100001","12","云电同方"
"10000002","EN20120517029","100001","12","云电同方"
"10000003","EN20120517030","100001","203","远信科技"
"10000003","EN20120517031","100001","203","远信科技"
"10000002","EN20120517032","100001","203","远信科技"
"10000002","EN20120517033","100001","203","远信科技"
"10000002","EN20120517034","100001","203","远信科技"
"10000002","EN20120517035","100001","203","远信科技"
"10000003","EN20120517036","100001","203","远信科技"
"10000002","EN20120517037","100001","203","远信科技"
"10000002","EN20120517038","100001","202","昆明能讯"
"10000002","EN20120517039","100001","203","远信科技"
"10000002","EN20120517040","100001","203","远信科技"
"10000002","EN20120517041","100001","203","远信科技"
"10000002","EN20120517042","100001","12","云电同方"
"10000002","EN20120517043","100001","202","昆明能讯"
"10000002","EN20120517044","100001","203","远信科技"
"10000002","EN20120517045","100010","202","昆明能讯"
"10000002","EN20120517046","100001","203","远信科技"
"10000002","EN20120517047","100001","12","云电同方"
"10000002","EN20120517048","100001","203","远信科技"
"10000002","EN20120517049","100001","12","云电同方"
"10000002","EN20120517050","100001","203","远信科技"
"10000002","EN20120517051","100001","203","远信科技"
"10000003","EN20120517052","100001","203","远信科技"
"10000002","EN20120517053","100001","12","云电同方"
"10000002","EN20120517054","100001","12","云电同方"
"10000002","EN20120517055","100001","203","远信科技"
"10000002","EN20120517056","100001","203","远信科技"
"10000003","EN20120517057","100001","203","远信科技"
"10000002","EN20120517058","100001","12","云电同方"
"10000002","EN20120517059","100001","12","云电同方"
"10000002","EN20120517060","100001","203","远信科技"
"10000003","EN20120517061","100001","203","远信科技"
"10000002","EN20120517062","100001","203","远信科技"
"10000002","EN20120517063","100001","203","远信科技"
"10000002","EN20120517064","100001","12","云电同方"
"10000002","EN20120517065","100001","12","云电同方"
"10000003","EN20120517066","100001","203","远信科技"
"10000002","EN20120517067","100001","12","云电同方"
"10000002","EN20120517068","100001","203","远信科技"
