"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120702095","100001","12","云电同方"
"10000002","EN20120702096","100003","12","云电同方"
"10000002","EN20120702097","100001","12","云电同方"
"10000003","EN20120702098","100001","203","远信科技"
"10000002","EN20120702099","100003","12","云电同方"
"10000002","EN20120702100","100001","12","云电同方"
"10000003","EN20120702101","100001","203","远信科技"
"10000002","EN20120702102","100001","203","远信科技"
"10000002","EN20120702103","100001","203","远信科技"
"10000002","EN20120702104","100001","203","远信科技"
"10000002","EN20120702105","100003","12","云电同方"
"10000002","EN20120702106","100001","202","昆明能讯"
"10000003","EN20120702107","100001","203","远信科技"
"10000002","EN20120702108","100001","12","云电同方"
"10000002","EN20120702109","100001","202","昆明能讯"
"10000002","EN20120702110","100003","12","云电同方"
"10000002","EN20120702111","100001","12","云电同方"
"10000002","EN20120702112","100001","12","云电同方"
"10000003","EN20120702113","100001","203","远信科技"
"10000002","EN20120702114","100001","202","昆明能讯"
"10000002","EN20120702115","100001","202","昆明能讯"
"10000002","EN20120702116","100001","203","远信科技"
"10000002","EN20120702117","100003","12","云电同方"
"10000003","EN20120702118","100001","203","远信科技"
"10000002","EN20120702119","100001","203","远信科技"
"10000002","EN20120702120","100001","12","云电同方"
"10000003","EN20120702121","100001","203","远信科技"
"10000003","EN20120702122","100001","203","远信科技"
"10000003","EN20120702123","100001","203","远信科技"
"10000002","EN20120702124","100001","203","远信科技"
"10000002","EN20120702125","100001","203","远信科技"
"10000002","EN20120702126","100001","203","远信科技"
"10000002","EN20120702127","100001","12","云电同方"
"10000003","EN20120702128","100001","12","云电同方"
"10000002","EN20120702129","100001","12","云电同方"
"10000002","EN20120702130","100003","12","云电同方"
"10000003","EN20120702131","100003","12","云电同方"
"10000002","EN20120702132","100001","12","云电同方"
"10000002","EN20120702133","100001","203","远信科技"
"10000002","EN20120702134","100001","12","云电同方"
"10000002","EN20120702135","100001","203","远信科技"
"10000003","EN20120702136","100001","12","云电同方"
"10000002","EN20120702137","100001","12","云电同方"
"10000002","EN20120702138","100001","12","云电同方"
"10000002","EN20120702139","100001","203","远信科技"
"10000003","EN20120702140","100001","12","云电同方"
"10000003","EN20120702141","100003","202","昆明能讯"
"10000003","EN20120702142","100001","12","云电同方"
"10000002","EN20120702143","100001","203","远信科技"
"10000002","EN20120702144","100001","203","远信科技"
"10000002","EN20120702145","100001","203","远信科技"
"10000003","EN20120702146","100001","203","远信科技"
"10000002","EN20120702147","100001","203","远信科技"
"10000002","EN20120702148","100001","202","昆明能讯"
"10000002","EN20120702149","100001","203","远信科技"
"10000002","EN20120702150","100001","203","远信科技"
"10000002","EN20120702151","100001","202","昆明能讯"
"10000002","EN20120702152","100001","12","云电同方"
"10000003","EN20120702153","100003","12","云电同方"
"10000002","EN20120702154","100001","12","云电同方"
"10000002","EN20120702155","100001","203","远信科技"
"10000003","EN20120702156","100003","12","云电同方"
"10000002","EN20120702157","100001","203","远信科技"
"10000002","EN20120702158","100001","203","远信科技"
"10000002","EN20120702159","100001","202","昆明能讯"
"10000002","EN20120702160","100001","202","昆明能讯"
"10000002","EN20120702161","100001","203","远信科技"
"10000002","EN20120702162","100001","203","远信科技"
"10000003","EN20120702164","100003","12","云电同方"
"10000002","EN20120702165","100001","203","远信科技"
"10000003","EN20120702166","100001","203","远信科技"
"10000002","EN20120702167","100001","203","远信科技"
"10000002","EN20120702168","100001","202","昆明能讯"
"10000003","EN20120702169","100001","203","远信科技"
"10000003","EN20120702170","100001","203","远信科技"
"10000002","EN20120702171","100001","202","昆明能讯"
"10000003","EN20120702172","100001","202","昆明能讯"
"10000002","EN20120702173","100001","203","远信科技"
"10000002","EN20120702174","100001","12","云电同方"
"10000002","EN20120702175","100001","12","云电同方"
"10000002","EN20120702176","100001","203","远信科技"
"10000002","EN20120702177","100001","203","远信科技"
"10000002","EN20120702178","100001","203","远信科技"
"10000002","EN20120702179","100001","12","云电同方"
"10000002","EN20120702180","100001","203","远信科技"
"10000002","EN20120702181","100001","12","云电同方"
"10000002","EN20120702182","100001","12","云电同方"
"10000002","EN20120702183","100001","203","远信科技"
"10000002","EN20120702184","100001","203","远信科技"
"10000002","EN20120702185","100001","202","昆明能讯"
"10000002","EN20120702186","100001","203","远信科技"
"10000002","EN20120702187","100001","203","远信科技"
"10000002","EN20120702188","100001","203","远信科技"
"10000002","EN20120702189","100001","203","远信科技"
"10000002","EN20120702190","100001","202","昆明能讯"
"10000003","EN20120702191","100001","203","远信科技"
"10000002","EN20120702192","100001","12","云电同方"
"10000002","EN20120702193","100001","202","昆明能讯"
